name,country,taxonomy,lat,lng
,,,,,
Agarwall Bina,,India ,Economics ,,
Bao Yaming,Shanghai Academy of Social Sciences ,China ,Literary and Art Theory,31.2026710510254,121.511947631836
Bao Dalizhabu,,China ,,,
Bhagat Kantilal P.,V.R. College of Engineering ,India ,Indo-American Relations ,39.9319686889648,-83.8137817382812
Bian Dongbo,Nanjing University,China ,Classical Chinese Literature,32.0561103820801,118.775001525879
Bian He,Harvard University,China ,History of Science,42.3734741210938,-71.1179580688477
Bih Jane Liu,,Taiwan,,,
,,,,,
Byun Jae-Ock,Yeungnam University ,Korea ,Law ,32.8453598022461,-96.796989440918
Cai Yun,Harvard University,China ,Art ,42.3734741210938,-71.1179580688477
Cai Tao,Guangzhou Academy of Fine Arts,China ,Art History ,23.1290798187256,113.264358520508
Cao Jin,Fudan University,China ,Journalism,31.2988891601562,121.499168395996
Cao Xinyu,Renmin University of China,China ,History ,36.5631141662598,103.735809326172
Cao Qiuhua,Wuhan University,China ,Philosophy,30.5408306121826,114.361106872559
Cao Qingyun,Peking University ,China ,Philosophy,39.9897232055664,116.305274963379
Ch'en Chieh-hsien,National Taiwan University,Taiwan,Chinese History ,23.7489929199219,120.971282958984
Ch'en Wenshih,Academia Sinica ,Taiwan,Chinese History ,40.5150184631348,20.8693809509277
Cha Chu-whan,Seoul National University ,Korea ,Chinese Literature,37.4599990844727,126.949996948242
Chai Chum-hwa,University of Hong Kong ,Hong Kong ,Economics ,22.2841663360596,114.13777923584
Chan Cho Wai Joseph,University of Hong Kong ,Hong Kong ,Political Science ,22.2841663360596,114.13777923584
Chan Kit Ching,University of Hong Kong ,Hong Kong ,Modern Chinese History,22.2841663360596,114.13777923584
Chan Joseph Man,Chinese University of Hong Kong ,Hong Kong ,Communication,22.2841663360596,114.13777923584
Chanda Barnali,Jadavpur University,India ,Comparative Literature,22.4991340637207,88.3708877563477
Chang Shu,Harvard University,China ,Anthropology,42.3734741210938,-71.1179580688477
Chang Che-Chia,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Chang Wen-chin,Academia Sinica ,Taiwan,Anthropology,40.5150184631348,20.8693809509277
Chang Ping Hung,Chinese University of Hong Kong ,Hong Kong ,Architecture,22.2841663360596,114.13777923584
Chang Eun Ha,Yonsei University ,Korea ,International Relations ,32.8453598022461,-96.796989440918
Chang Chia-Feng,National Taiwan University,Taiwan,History of Medicine,23.7489929199219,120.971282958984
Chang Cheng-chieh,Nagoya University ,Japan ,History ,35.1506500244141,136.919036865234
Chang Ji-sang,Kyungpook National University ,Korea ,Economics ,32.9052963256836,-117.243560791016
Chang Wei-An,National Tsing Hua University,Taiwan,Sociology ,34.5125885009766,109.771896362305
Chang Hsun,,Taiwan,Anthropology,,
Chang Ping-chuan,Academia Sinica ,Taiwan,Comparative Literature,40.5150184631348,20.8693809509277
Chang Tsun-wu,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Chang Heng,National Taiwan University,Taiwan,Comparative Literature,23.7489929199219,120.971282958984
Chang Ku-ming,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Chang Wang-Rok,Seoul National University ,Korea ,American Literature ,37.4599990844727,126.949996948242
Chang Yu-chi,Waseda University ,Japan ,Anthropology,35.7092018127441,139.719329833984
Chang Xiaqing,Shanghai Academy of Social Sciences ,China ,Religious Studies,31.2026710510254,121.511947631836
Chang Hsiao-hung,National Taiwan University,Taiwan,Literature,23.7489929199219,120.971282958984
Chao Chia-ying,University of British Columbia,Canada,Comparative Literature,49.26392,-123.21524
Chao Chung-fu,Academia Sinica ,Taiwan,Modern Chinese History,40.5150184631348,20.8693809509277
Chao Xiaohong,Xiamen University ,China ,Economic History,24.4795093536377,118.089477539062
Chao Gejin,Chinese Academy of Social Sciences,China ,Folklore,34.0215530395508,-118.283737182617
Charnvitayapong Kovit,Thammasat University,Thailand,Economics ,32.8453598022461,-96.796989440918
Chau Thien Hiep,Cantho University,Vietnam ,English Education ,10.0365295410156,105.787353515625
Chau Huy Hoa Ai,National University of Singapore,Singapore ,Linguistics ,1.29555594921112,103.776664733887
Chen Chih-Jou,Academia Sinica ,Taiwan,Sociology ,40.5150184631348,20.8693809509277
Chen Bateer,Nankai University ,China ,Education ,39.1381492614746,117.150108337402
Chen Dandan,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
Chen Wen-yi,Harvard University,Taiwan,Chinese History ,42.3734741210938,-71.1179580688477
Chen Qingying,,China ,,,
Chen Wei-Chun,Academia Sinica ,Taiwan,Archaeology ,40.5150184631348,20.8693809509277
Chen Zhichao,,China ,,,
Chen Shaoming,Sun Yat-sen University,China ,Philosophy,14.3601770401001,-14.4676847457886
Chen Pochan,National Taiwan University,Taiwan,Archaeology ,23.7489929199219,120.971282958984
Chen Xia,Sichuan University,China ,Religious Studies,30.6250896453857,102.697280883789
,,,,,
Chen Hui-hung,National Taiwan University,Taiwan,Art History ,23.7489929199219,120.971282958984
Chen Jianguo,,China ,,,
Chen Lisheng,Sun Yat-sen University,China ,Philosophy,14.3601770401001,-14.4676847457886
Chen Yunqian,Nanjing University,China ,History ,32.0561103820801,118.775001525879
Chen Jeng-guo,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Chen Maa-ling,National Taiwan University,Taiwan,Anthropology,23.7489929199219,120.971282958984
Chen An,Xiamen University ,China ,Law ,24.4795093536377,118.089477539062
Chen Guiming,Sun Yat-sen University,China ,History ,14.3601770401001,-14.4676847457886
Chen Kun,Chinese Academy of Social Sciences,China ,Literature,34.0215530395508,-118.283737182617
Chen Yinchi,Fudan University,China ,Comparative Literature,31.2988891601562,121.499168395996
Chen Na,Peking University ,China ,Comparative Literature,39.9897232055664,116.305274963379
Chen Shiwei,Peking University ,China ,History ,39.9897232055664,116.305274963379
Chen Bo,Sichuan University,China ,Anthropology,30.6250896453857,102.697280883789
Chen Yongguo,Tsinghua University ,China ,Literature,40,116.326667785645
Chen Enming,Chinese Academy of Social Sciences,China ,Religious Studies,34.0215530395508,-118.283737182617
Chen Yajun,Xiamen University ,China ,Philosophy,24.4795093536377,118.089477539062
Chen Mei-fei,National Taipei Institute of Technology ,Taiwan,Comparative Literature,25.0373706817627,121.563552856445
Chen Xi,Wuhan University,China ,Comparative Literature,30.5408306121826,114.361106872559
Chen Xingcan,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Chen Yu Dong,Nankai University ,China ,Art History ,39.1381492614746,117.150108337402
Chen Siyan,Nankai University ,China ,History of Medicine,39.1381492614746,117.150108337402
Chen Jianguo,Nankai University ,China ,Economics ,39.1381492614746,117.150108337402
Chen Hongmin,Nanjing University,China ,Modern Chinese History,32.0561103820801,118.775001525879
Chen Xi,Chinese University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Chen Jingling,Fudan University,China ,Comparative Literature,31.2988891601562,121.499168395996
Chen Yu-Mei,Academia Sinica ,Taiwan,Archaeology ,40.5150184631348,20.8693809509277
Chen Yuqian,Harvard University,China ,Political Science ,42.3734741210938,-71.1179580688477
Chen Zhen Jiang,,,,,
Chen Honfai,Chinese University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Chen Chih-Jou,Academia Sinica ,Taiwan,Sociology ,40.5150184631348,20.8693809509277
Chen Bateer,Nankai University ,China ,Education ,39.1381492614746,117.150108337402
Chen Qingying,,China ,,,
Cheng Xiangzhan,Shandong University ,China ,Chinese Aesthetics,36.4687118530273,118.517127990723
Cheng Chung-yi,Chinese University of Hong Kong ,Hong Kong ,Philosophy,22.2841663360596,114.13777923584
Cheng Jianhua,Chinese Academy of Social Sciences,China ,Buddhism,34.0215530395508,-118.283737182617
Cheng Wei,Chinese Academy of Social Sciences,China ,Cultural Studies,34.0215530395508,-118.283737182617
Cheng Shall-Way,National Taiwan University,Taiwan,Psychology,23.7489929199219,120.971282958984
Cheng Zhao-xiang,Peking University ,China ,English and American  Literature,39.9897232055664,116.305274963379
Cheng Zhang-Can,Nanjing University,China ,Chinese Literature,32.0561103820801,118.775001525879
Cheng Yu,Sun Yat-sen University,China ,Anthropology,14.3601770401001,-14.4676847457886
Cheung Lik-Kwan,Chinese University of Hong Kong ,Hong Kong ,Literature,22.2841663360596,114.13777923584
Cheung Sai-bung,Chinese University of Hong Kong ,Hong Kong ,Chinese Music ,22.2841663360596,114.13777923584
Cheung Suk-Hong,National Taiwan University,Taiwan,Comparative Literature,23.7489929199219,120.971282958984
Chew Chin-Tiong (Ernest),National University of Singapore,Singapore ,History ,1.29555594921112,103.776664733887
Chi Mingzhou,Peking University ,China ,Indian Studies,39.9897232055664,116.305274963379
Chi Seck Choo,University of Malaya,Malaysia,Geography ,24.03782081604,86.5390014648438
Chia Jack Meng-tat,Cornell University,Singapore ,History ,42.4537124633789,-76.4835662841797
Chiang Bo-wei,,Taiwan,,,
Chiengthong  Jamaree,SOAS,Thailand,Anthropology,43.2041206359863,0.0973699986934662
Chikamoto Kensuke,Tsukuba University,Japan ,Buddhism,36.0349006652832,140.080154418945
,,,,,
Chin Fa-ken,University of Hong Kong ,Hong Kong ,Chinese History ,22.2841663360596,114.13777923584
Chin Kin Wah,National University of Singapore,Singapore ,International Relations ,1.29555594921112,103.776664733887
Chin Sei-Jeong,Ewha Womans University,Korea ,History ,32.8453598022461,-96.796989440918
Chiu Peng-Sheng,Academia Sinica ,Taiwan,Economic History,40.5150184631348,20.8693809509277
Chiu Tuen Yi (Jenny),Chinese University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Cho Sook-Hwan,Harvard University,Korea ,Linguistics ,42.3734741210938,-71.1179580688477
Cho Woo-hyun,Yonsei University ,Korea ,Philosophy,32.8453598022461,-96.796989440918
Cho Kiyoko,International Christian University,Japan ,Intellectual History,32.7077140808105,-97.3652877807617
Cho Young-bin,Chonbuk National University ,Korea ,Political Science ,35.7442817687988,127.166305541992
Cho Tae Kyung,Seoul National University ,Korea ,Psychology,37.4599990844727,126.949996948242
Cho Mun-ho,Kyungpook National University ,Korea ,English Literature,32.9052963256836,-117.243560791016
Cho Mun-Ho,Kyungpook National University ,Korea ,English Drama ,32.9052963256836,-117.243560791016
Cho Young-bin,Chonbuk National University ,Korea ,Political Science ,35.7442817687988,127.166305541992
Cho Eunjoo,Yonsei University ,Korea ,Sociology ,32.8453598022461,-96.796989440918
Cho Soon-Kyong,Ewha Womans University,Korea ,Sociology ,32.8453598022461,-96.796989440918
Cho Young Hun,Seoul National University ,Korea ,History ,37.4599990844727,126.949996948242
Cho Young Nam,Seoul National University ,Korea ,Political Science ,37.4599990844727,126.949996948242
Cho Kyuhee,Seoul National University ,Korea ,Archaeology ,37.4599990844727,126.949996948242
Cho Kuk,,Korea ,Law ,,
Choe Hong-kee,Seoul National University ,Korea ,Sociology ,37.4599990844727,126.949996948242
Choi Wonseok,Harvard University,Korea ,Economics ,42.3734741210938,-71.1179580688477
Choi Jung-Gie,Chonnam National University ,Korea ,Sociology ,34.8679008483887,126.990997314453
Choi Kyunghwan,,Korea ,,,
Choi Young-Ae,,Korea ,,,
Choi Jinseok,,,Philosophy,,
Choi Jai-Seuk,Korea University,Korea ,Sociology ,36.4511566162109,127.861145019531
Choi Julie,Ewha Womans University,Korea ,English Literature,32.8453598022461,-96.796989440918
Choi Song-wha,Seoul National University ,Korea ,Law ,37.4599990844727,126.949996948242
Choi Sang-Yong,Chung-Ang University,Korea ,Political Science ,35.856219,126.988803
Choi Gap-Soon,Yeungnam University ,Korea ,Constitutional Law,32.8453598022461,-96.796989440918
Choi Kyoung-sook,Sungkyunkwan University ,Korea ,Psychology,32.8453598022461,-96.796989440918
Choi Hyup,Chonnam National University ,Korea ,Anthropology,34.8679008483887,126.990997314453
Choi Chong-ko,Seoul National University ,Korea ,Law ,37.4599990844727,126.949996948242
Chong Ming,East China Normal University,China ,Political Science ,42.7576217651367,-82.4837265014648
Chotiudompant Suradech,Chulalongkorn University,Thailand,Comparative Literature,32.8453598022461,-96.796989440918
Chou Fa-kao,Academia Sinica ,Taiwan,Chinese Linguistics ,40.5150184631348,20.8693809509277
Chu Tuyet Lan,National Center for Social Sciences and Humanities,Vietnam ,Library Science,34.0215530395508,-118.283737182617
Chu Pingyi,Academia Sinica ,Taiwan,History of Science,40.5150184631348,20.8693809509277
Chu Guofei,Nanjing University,China ,International Relations ,32.0561103820801,118.775001525879
Chu Chien-ming,National Chengchi University,Taiwan,International Relations ,46.9460830688477,7.43722105026245
Chu Duy Ly,National University of Singapore,Singapore ,International Relations ,1.29555594921112,103.776664733887
Chuang Ying-chang,Academia Sinica ,Taiwan,Social Anthropology ,40.5150184631348,20.8693809509277
Chun Ho-jong,Dongguk University,Korea ,English Literature,32.8453598022461,-96.796989440918
Chun Hae-jong,Sogang University ,Korea ,East Asian History,37.5496406555176,126.924858093262
Chung Byong-uook,Seoul National University ,Korea ,Korean Literature ,37.4599990844727,126.949996948242
Chung Chai-kak,Korea University,Korea ,Chinese History ,36.4511566162109,127.861145019531
Chung Do-yung,Sungkyunkwan University ,Korea ,Economics ,32.8453598022461,-96.796989440918
Chung Moon-Gil,Korea University,Korea ,Political Science ,36.4511566162109,127.861145019531
Chung Doo Hee,Chonbuk National University ,Korea ,Korean History,35.7442817687988,127.166305541992
Chung Hyun-sik,Sungkyunkwan University ,Korea ,Economics ,32.8453598022461,-96.796989440918
,,,,,
Chung Moon-Gil,Korea University,Korea ,Political Science ,36.4511566162109,127.861145019531
Chung Doo Hee,Chonbuk National University ,Korea ,Korean History,35.7442817687988,127.166305541992
Chung Hyun-sik,Sungkyunkwan University ,Korea ,Economics ,32.8453598022461,-96.796989440918
Chung Jae-Seo,Ewha Womans University,Korea ,Comparative Literature,32.8453598022461,-96.796989440918
Chung Hyun-back,Sungkyunkwan University ,Korea ,History ,32.8453598022461,-96.796989440918
Chung Il-Joon,Seoul National University ,Korea ,Sociology ,37.4599990844727,126.949996948242
Chung (or Jung) Jae Seo,,,,,
Ch’en Chao-ying,National Taiwan University,Taiwan,Confucianism,23.7489929199219,120.971282958984
Cong Yu,Nanjing University,China ,English ,32.0561103820801,118.775001525879
Cui Wendong,Chinese University of Hong Kong - Shenzhen,China ,Literature,22.5428600311279,114.059562683105
Cui Weihong,,China ,,,
Cui Junyun,,China ,,,
Cui Zhihai,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Cui Di,Harvard University,China ,Comparative Literature,42.3734741210938,-71.1179580688477
Dai Xuetian,Peking University ,China ,Comparative Literature,39.9897232055664,116.305274963379
Dang Thi Mai,National Library of Vietnam - Hanoi,Vietnam ,Library Science,21.0289192199707,105.854621887207
Dang Shu-leung,Chinese University of Hong Kong ,Hong Kong ,Comparative Literature,22.2841663360596,114.13777923584
Dao The Duc,,Vietnam ,,,
Deng Feng,Peking University ,China ,Corporate Law,39.9897232055664,116.305274963379
Deng Xiaonan,Peking University ,China ,Chinese History ,39.9897232055664,116.305274963379
Deng Fei,Fudan University,China ,Art History ,31.2988891601562,121.499168395996
Diep Kim Chi,Cantho University,Vietnam ,Library Science,10.0365295410156,105.787353515625
Ding Sixin,Wuhan University,China ,Philosophy,30.5408306121826,114.361106872559
Ding Yizhuang,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Ding Yi,Harvard University,China ,Buddhism,42.3734741210938,-71.1179580688477
Dinh Hong-Hai,Vietnam National University-Hanoi ,Vietnam ,Anthropology,16.1676921844482,107.839050292969
Do Duc Dinh,National Center for Social Sciences and Humanities,Vietnam ,Economics ,34.0215530395508,-118.283737182617
Do Thu Hien,Vietnam National University-Hanoi ,Vietnam ,Literature,16.1676921844482,107.839050292969
Doan Anh Loan,University of Social Sciences and Humanities - Ho Chi Minh City,Vietnam ,Literature,10.7782402038574,106.703239440918
Dogase Masato,Nagoya University ,Japan ,Japanese Cinema,35.1506500244141,136.919036865234
Dong Jie,China Academy of Art,China ,Art History ,36.5631141662598,103.735809326172
Dong Xiufang,Sichuan University,China ,,30.6250896453857,102.697280883789
Dong Yuting,Harvard University,China ,Modern Japanese History ,42.3734741210938,-71.1179580688477
Dong Wensheng,Nanjing University,China ,English ,32.0561103820801,118.775001525879
Du Daisy Yan,Hong Kong University of Science and Technology,Hong Kong ,Film Studies,22.3374996185303,114.263000488281
Du Feiran,,China ,Literature,,
Duan Huaiqing,Fudan University,China ,Chinese Literature,31.2988891601562,121.499168395996
Duan Dezhi,Wuhan University,China ,Philosophy,30.5408306121826,114.361106872559
Duong Thi Van,National Library of Vietnam - Hanoi,Vietnam ,Library Science,21.0289192199707,105.854621887207
Eaksittipong Sittithep,National University of Singapore,Thailand,History ,1.29555594921112,103.776664733887
Ebihara Hiroshi,Kyushu University ,Japan ,English Literature,33.6278381347656,130.422973632812
Eguchi Yuko,,Japan ,,,
Endo Yasuo,University of Tokyo ,Japan ,American History,35.7133331298828,139.762222290039
Eom Kihong,Kyungpook National University ,Korea ,Comparative Politics,32.9052963256836,-117.243560791016
Fan Jinmin,Nanjing University,China ,History ,32.0561103820801,118.775001525879
Fan Kun,Chinese University of Hong Kong ,Hong Kong ,Law ,22.2841663360596,114.13777923584
Fan Ying,Sichuan University,China ,History ,30.6250896453857,102.697280883789
Fan Xiaoyun,Nankai University ,China ,Economics ,39.1381492614746,117.150108337402
Fan Shuhua,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Fan Xiong-Bai,Fudan University,China ,Economics ,31.2988891601562,121.499168395996
,,,,,
Fang Cheng-hua,National Taiwan University,Taiwan,History ,23.7489929199219,120.971282958984
Fang Hui,Shandong University ,China ,Archaeology ,36.4687118530273,118.517127990723
Fang Shi-zhuang,Sun Yat-sen University,China ,Demography,14.3601770401001,-14.4676847457886
Fang Jingwen,Renmin University of China,China ,Medical Anthropology,36.5631141662598,103.735809326172
Fang Ming,Chinese Academy of Social Sciences,China ,Sociology ,34.0215530395508,-118.283737182617
Fauzi Mohd. bin Haji,University of Malaya,Malaysia,Sociology ,24.03782081604,86.5390014648438
Feangfu Janit,SOAS,Thailand,Literature,43.2041206359863,0.0973699986934662
Feng Ping,Sun Yat-sen University,China ,Philosophy,14.3601770401001,-14.4676847457886
Feng Xiaocai,Fudan University,China ,Chinese History ,31.2988891601562,121.499168395996
Feng Yue,Peking University ,China ,Archaeology ,39.9897232055664,116.305274963379
Feng Jiehan,Wuhan University,China ,Law ,30.5408306121826,114.361106872559
Feng Xiang,Peking University ,China ,Literature,39.9897232055664,116.305274963379
Frankl John Mark,Yonsei University ,Korea ,Korean Literature ,32.8453598022461,-96.796989440918
Fu Huimin,Shanghai University ,China ,Art History ,31.2026710510254,121.511947631836
Fu Pei-jung,National Taiwan University,Taiwan,Philosophy,23.7489929199219,120.971282958984
Fu Xianguo,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Fuhara Yoshiaki,Hitotsubashi University ,Japan ,English Literature,32.8453598022461,-96.796989440918
Fujii Joji,Kyoto University,Japan ,Japanese History,35.0262107849121,135.780838012695
Fujii Masato,Kyoto University,Japan ,,35.0262107849121,135.780838012695
Fujiki Hideaki,Nagoya University ,Japan ,Film Studies,35.1506500244141,136.919036865234
Fujimoto Hiroshi,University of Tokyo ,Japan ,History ,35.7133331298828,139.762222290039
Fujita Kotatsu,Hokkaido University ,Japan ,Indian Philosophy ,43.5393257141113,142.437515258789
Fujita Tadashi,International Christian University,Japan ,,32.7077140808105,-97.3652877807617
Fukuda Mahito,Nagoya University ,Japan ,Comparative Culture ,35.1506500244141,136.919036865234
Fuma Susumu,Kyoto University,Japan ,History ,35.0262107849121,135.780838012695
Funakoshi Motoaki,Kyoto University,Japan ,Law ,35.0262107849121,135.780838012695
Funatsu Takayuki,Kyushu University ,Japan ,Psychology,33.6278381347656,130.422973632812
Fung Heidi,Academia Sinica ,Taiwan,Psychology,40.5150184631348,20.8693809509277
Furuie Shinpei,Tsukuba University,Japan ,Folk Religion ,36.0349006652832,140.080154418945
Furuta Seiji,Keio University ,Japan ,Economics ,35.6491661071777,139.742782592773
Furuta Hirokiyo,,Japan ,Philosophy,,
Furuta Kazuko,Keio University ,Japan ,Economic History,35.6491661071777,139.742782592773
Gan Wendy,University of Hong Kong ,Hong Kong ,Literature,22.2841663360596,114.13777923584
Gan Cuo,Qinghai University for Nationalities,China ,Ethnology ,35.6677703857422,96.0445251464844
Gao Fengfeng,Peking University ,China ,Literature,39.9897232055664,116.305274963379
Gao Bingzhong ,Peking University ,China ,Anthropology,39.9897232055664,116.305274963379
Gao Hong,Peking University ,China ,Indian Philosophy ,39.9897232055664,116.305274963379
Gao He Jia,Sun Yat-sen University,China ,Comparative Literature,14.3601770401001,-14.4676847457886
Gao Yi,Peking University ,China ,History ,39.9897232055664,116.305274963379
Gao Shenchun,Jilin University,China ,Psychology,43.8378410339355,126.549438476562
Gao Xi,Fudan University,China ,History ,31.2988891601562,121.499168395996
Gao Sijia,Harvard University,China ,Japanese History,42.3734741210938,-71.1179580688477
Gao Ming,,China ,Political Science ,,
Ge Rongling,Xiamen University ,China ,Anthropology,24.4795093536377,118.089477539062
Ge Yun,National University of Singapore,Singapore ,Sociology ,1.29555594921112,103.776664733887
Ge Zhaoguang,Fudan University,China ,History ,31.2988891601562,121.499168395996
Ge Jianxiong,Fudan University,China ,Historical Geography,31.2988891601562,121.499168395996
Geng Liuna,Nanjing University,China ,Psychology,32.0561103820801,118.775001525879
Gohyama Kiwamu,Kyushu University ,Japan ,Comparative Literature,33.6278381347656,130.422973632812
Goldstein Laurence,University of Hong Kong ,Hong Kong ,Philosophy,22.2841663360596,114.13777923584
,,,,,
Gong Yongmei,East China Normal University,China ,History ,42.7576217651367,-82.4837265014648
Gong Yushu,Peking University ,China ,,39.9897232055664,116.305274963379
Gou Bo,Sichuan University,China ,Chinese Philosophy,30.6250896453857,102.697280883789
Gu Zheng,Fudan University,China ,History ,31.2988891601562,121.499168395996
Gu Hongliang,East China Normal University,China ,Confucianism,42.7576217651367,-82.4837265014648
Gu Wei Kang,Shanghai Academy of Social Sciences ,China ,Chinese Philosophy,31.2026710510254,121.511947631836
Gu Sheng Zu,Wuhan University,China ,Demography,30.5408306121826,114.361106872559
Gu Songjie,Minzu University of China,China ,History ,36.5631141662598,103.735809326172
Guan Yue,Chinese University of Hong Kong ,Hong Kong ,Political Science ,22.2841663360596,114.13777923584
Guan Shijie,Peking University ,China ,Communication,39.9897232055664,116.305274963379
Guan Changlong,Zhejiang University ,China ,Intellectual History,30.2636108398438,120.120826721191
Guha Ramachandra,,India ,,,
Guo  Wu,Sichuan University,China ,Religious Studies,30.6250896453857,102.697280883789
Guo Yujun,Wuhan University,China ,Law ,30.5408306121826,114.361106872559
Guo Jinhua,Harvard University,China ,Anthropology,42.3734741210938,-71.1179580688477
Guo Wu,,China ,Archaeology ,,
Guo Yi,Chinese Academy of Social Sciences,China ,Philosophy,34.0215530395508,-118.283737182617
Guo Qiyong,Wuhan University,China ,Philosophy,30.5408306121826,114.361106872559
Guo Weiqing,Sun Yat-sen University,China ,Political Science ,14.3601770401001,-14.4676847457886
Ha Wonsoo,Sungkyunkwan University ,Korea ,History ,32.8453598022461,-96.796989440918
Ha Myunghui  ,Ewha Womans University,Korea ,English Literature,32.8453598022461,-96.796989440918
Hagiwara Junpei,Kyoto University,Japan ,Mongolian History ,35.0262107849121,135.780838012695
Hahm Hong-keun,Ewha Womans University,Korea ,Chinese History ,32.8453598022461,-96.796989440918
Hahm Hong-keun,,Korea ,,,
Hahn Chun-sep,Korea University,Korea ,Economics ,36.4511566162109,127.861145019531
Hahn Dong-sup,Korea University,Korea ,Constitutional Law,36.4511566162109,127.861145019531
Han Zhaoqing,Fudan University,China ,Historical Geography,31.2988891601562,121.499168395996
Han In Sup,Seoul National University ,Korea ,Law ,37.4599990844727,126.949996948242
Han Do Hyun,Academy of Korean Studies ,Korea ,Sociology ,42.7923316955566,-77.3426208496094
Han Woo-keun,Seoul National University ,Korea ,Korean History,37.4599990844727,126.949996948242
